Empresa;CUIT;Expte;Calle;Nro;Piso;Dpto;CPA;Localidad;Provincia;Telefono;RegComercializacion;RegFabricacion;Dispo;FechaDispo;Vence
AMIAR SMART GRID S.A.S.;30-71588009-8;EX- -APN-REYS#ENACOM 25022192/2022;SAN LUIS;4580;          ;    ;7600;MAR DEL PLATA;BUENOS AIRES;(0223 )495 -2500;30-2787;0;1927 APN-DNAYRT#ENACOM/2022;04/04/2022;04/04/2025
AMIAR SMART GRID S.A.S.;30-71588009-8;EX- -APN-REYS#ENACOM 25022192/2022;YERBAL;1065;          ;    ;C1406GJA;CABA;CIUDAD DE BUENOS AIRES;;30-2787;0;1927 APN-DNAYRT#ENACOM/2022;04/04/2022;04/04/2025
AMPO S.A.C.I.F.A.;30-50357798-0;;BELGRANO DR MANUEL;65;          ;    ;B1842CGA;MONTE GRANDE;BUENOS AIRES;(011  )4290-1033;30-700;02-323;1915 CN/1992;23/07/1992;23/07/1995
AMTED S.R.L.;30-71490190-3;EXPAFTIC 6196/2015;CRISOLOGO LARRALDE;3609;          ;305;C1430AIE;CABA;CIUDAD DE BUENOS AIRES;(011  )4092-7354;30-2891;0;7506 APN-DNAYRT#ENACOM/2023;28/09/2023;28/09/2026
AMX ARGENTINA S.A.;30-66328849-7;EXPCNC 7365/2005;AVDA.  DE MAYO;878;          ;    ;C1084AAQ;CABA;CIUDAD DE BUENOS AIRES;(011  )4809-1000;30-2898;0;419 APN-DNAYRT#ENACOM/2024;05/01/2024;05/01/2027
AMX ARGENTINA S.A.;30-66328849-7;EXPCNC 7365/2005;DE MAYO;878;          ;    ;C1084AAQ;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4109-8879;30-2898;0;419 APN-DNAYRT#ENACOM/2024;05/01/2024;05/01/2027
ANALISTAS EMPRESARIOS S.R.L.;30-58782819-3;;AVDA. SANTA FE;1235;          ;    ;C1059ABG;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4812-4339;30-1029;0;145 CN/1991;11/04/1991;11/04/1994
ANCA AGRONEGOCIOS CONSULTORES ASOCIADOS SOCIEDAD DE RESPONSABILIDAD LIMITADA;30-67454396-0;EXPENACOM 3919/2017;MARTA ZAMARO;2263;          ;    ;3000;SANTA FE;SANTA FE;;30-2952;02-667;6981 APN-DNAYRT#ENACOM/2024;26/07/2024;26/07/2027
ANCA AGRONEGOCIOS CONSULTORES ASOCIADOS SOCIEDAD DE RESPONSABILIDAD LIMITADA;30-67454396-0;EXPENACOM 3919/2017;QUIRNO;123;6;A   ;1406;CABA;CIUDAD DE BUENOS AIRES;(011  )6573-0122;30-2952;02-667;6981 APN-DNAYRT#ENACOM/2024;26/07/2024;26/07/2027
ANECTIS S.A.;33-70788937-9;EXPCNC 3048/2005;MOREAU DE JUSTO ALICIA ;1780;1;H   ;C1107AFJ;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )5173-2600;30-1526;0;0 /;08/06/2005;08/06/2008
ANIXTER ARGENTINA S.A.;30-68247214-2;EXPCNC 6778/2004;CASTRO;1844;          ;    ;C1237AAP;CABA;CIUDAD DE BUENOS AIRES;(011  )4909-5200;30-2950;0;7317 APN-DNAYRT#ENACOM/2024;06/08/2024;06/08/2027
ANKER INNOVATIONS S.R.L.;30-71908941-7;EX- -APN-AASYST#ENACOM 8887760/2026;HIPOLITO BOUCHARD;468;4º        ;G   ;C1106ABF;CABA;CIUDAD DE BUENOS AIRES;(011  )2686-8586;30-3075;0;5059 APN-DNLAYR#ENACOM/2026;26/02/2026;26/02/2029
ANTEMONT S.A.C.I.F.I.A.;30-56860285-0;EXPCNT 12319/1994;CORRIENTES;980;7;D   ;C1043AAW;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1233;02-468;3032 GI/2010;08/09/2010;08/09/2013
ANTEMONT S.A.C.I.F.I.A.;30-56860285-0;EXPCNT 12319/1994;DREYER PEDRO;796;          ;    ;B1841FLU;MONTE GRANDE;BUENOS AIRES;;30-1233;02-468;3032 GI/2010;08/09/2010;08/09/2013
ANTENA COLOR S.R.L.;30-58012707-6;;PUEYRREDON GRAL JUAN MARTIN DE;532;          ;    ;C1032ABS;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4961-1846;30-1149;0;709 CN/1991;30/11/1991;30/11/1994
ANTENAS PROFESIONALES S.A.;30-62502328-5;EXPCNC E 3988/1998;CAPITAN M. CAJARAVILLE;3629;          ;    ;1606;CARAPACHAY;BUENOS AIRES;;30-1311;0;2106 GI/1998;21/05/1998;21/05/2001
ANTERRA TECHNOLOGIES S.A.;30-71052713-6;EXPCNC 13739/2008;BELGRANO MANUEL;624;10;    ;C1092AAT;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4342-2662;30-1722;0;294 GI/2012;27/01/2012;27/01/2015
ANTERRA TECHNOLOGIES S.A.;30-71052713-6;EXPCNC 13739/2008;BOULEVARD DEL MIRADOR;290;          ;210;1670;TIGRE;BUENOS AIRES;(011  )6849-1591;30-1722;0;294 GI/2012;27/01/2012;27/01/2015
ANTERRA TECHNOLOGIES S.A.;30-71052713-6;EXPCNC 13739/2008;LA CAUTIVA;323;          ;    ;C1408GPA;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4871-8583;30-1722;0;294 GI/2012;27/01/2012;27/01/2015
APEIRON IT S.R.L.;33-70841197-9;EXPCNC 4162/2006;JUNIN;252;          ;    ;C1026ABF;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4954-2539;30-1577;0;2473 GI/2011;27/06/2011;27/06/2014
APPLE ARGENTINA S.A.;30-70722404-1;EXPCNC E 7605/2000;MOREAU DE JUSTO ALICIA ;2030;1;117;C1107AFP;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4766-5300;30-1378;0;1897 GI/2004;09/06/2004;09/06/2007
APPROVE - IT S.A.;30-71193155-0;EXPCNC 9504/2011;IBERA;4656;          ;    ;C1431AEB;CABA;CIUDAD DE BUENOS AIRES;(011  )4545-1155;30-2035;0;7641 APN-DNAYRT#ENACOM/2023;09/10/2023;09/10/2026
APPROVE - IT S.A.;30-71193155-0;EXPCNC 9504/2011;QUIROGA SARMIENTO;4259;          ;    ;X5009ENE;CORDOBA;CORDOBA;(0351 )481 -5982;30-2035;0;7641 APN-DNAYRT#ENACOM/2023;09/10/2023;09/10/2026
APTOSOLUTIONS S.R.L.;30-70890907-2;EXPCNC 15593/2008;ESMERALDA;819;1;B   ;C1007ABI;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )5272-7101;30-1725;0;4730 GI/2008;29/12/2008;29/12/2011
ARBELAIZ S.A.;30-56855470-8;EXPCNT 12592/1994;MAZA JUAN AGUSTIN;634;          ;    ;C1220ABD;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4931-7051;30-708;02-326;2343 CN/1994;11/11/1994;11/11/1997
ARCOM GROUP S.R.L.;30-70839990-2;EXPCNC 13058/2008;GAMARRA AGUSTIN;1265;          ;    ;C1427AYC;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4313-8330;30-1721;0;4089 GI/2012;31/10/2012;31/10/2015
ARGENPROM S.R.L.;30-68579313-6;EXPCNC 8035/2011;DEHEZA GRAL ROMAN ANTONIO;3189;          ;    ;C1429EBC;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4545-0400;30-1845;0;4007 GI/2011;06/10/2011;06/10/2014
ARGENTRADE SOCIEDAD DE RESPONSABILIDAD LIMITADA;30-66010157-4;EXPAFTIC 130/2015;514;2050;          ;    ;B1897HCF;MANUEL B GONNET;BUENOS AIRES;(0221 )471 -2323;30-2100;0;206 DINAPTIC/2015;21/08/2015;21/08/2018
ARGENTRADE SOCIEDAD DE RESPONSABILIDAD LIMITADA;30-66010157-4;EXPAFTIC 130/2015;AVDA. BELGRANO;687;          ;    ;C1092AAG;CABA;CIUDAD DE BUENOS AIRES;(011  )5272-1550;30-2100;0;206 DINAPTIC/2015;21/08/2015;21/08/2018
ARGUS COMMODITY S.R.L.;33-64367286-9;;MEXICO;1199;PB        ;    ;C1097AAW;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-1114;0;529 CN/1991;04/10/1991;04/10/1994
ARIEMA S.A.I.C.F.;30-51581796-0;EXPCNTMESA E 13810/1995;AVDA. 64 (JUAN DOMINGO PERON);5674;          ;    ;B1650JJP;SIN DENOMINACION;BUENOS AIRES;(011  )4752-2067;30-790;02-364;6472 GI/1995;20/09/1995;20/09/1998
ARIEMA S.A.I.C.F.;30-51581796-0;EXPCNTMESA E 13810/1995;VER EL EXPTE.;1;          ;    ;1001;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-790;02-364;6472 GI/1995;20/09/1995;20/09/1998
ARIMEX IMPORTADORA S.A.;30-54039667-8;EX- -APN-SDYME#ENACOM 1746245/2018;AV, PTE ROQUE SAENZ PEÑA;1134;2;    ;1035;CABA;CIUDAD DE BUENOS AIRES;(011  )00  -0000;30-2397;0;709 APN-DNAYRT#ENACOM/2018;29/01/2018;29/01/2021
ARIMEX IMPORTADORA S.A.;30-54039667-8;EX- -APN-SDYME#ENACOM 1746245/2018;AV. ANDRES ROLON;1107;          ;    ;B1642BIL;SAN ISIDRO;BUENOS AIRES;(011  )4707-3000;30-2397;0;709 APN-DNAYRT#ENACOM/2018;29/01/2018;29/01/2021
ARIMPEX S.R.L.;30-63898868-9;;CARLOS PELLEGRINI;1055;12;A   ;C1009ABU;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4313-6884;30-987;0;547 SU/1990;26/10/1990;26/10/1993
ARKITEC S.A.;30-59651204-2;;ESTEBAN AGUSTIN GASCON;1164;PB        ;H   ;C1181ACV;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-1024;0;145 CN/1991;11/04/1991;11/04/1994
ARMAGALLI S.A.;30-60090755-3;;AVDA. RIVADAVIA;2339;PB        ;    ;C1034ACC;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4951-7953;30-1172;0;503 CN/1993;18/02/1993;18/02/1996
ARO SOCIEDAD ANONIMA;30-53562276-7;EX- -APN-ALYAT#ENACOM 25276606/2026;BELGRANO;369;          ;    ;1092;CABA;CIUDAD DE BUENOS AIRES;(011  )4331-4503;30-3082;0;6465 APN-DNLAYR#ENACOM/2026;07/04/2026;
ARQ DESIGN S.A.;30-71184727-4;EXPENACOM 479/2016;DEL LIBERTADOR;5722;7;27;1428;CABA;CIUDAD DE BUENOS AIRES;(011  )4264-8838;30-2167;0;1556 ENACOM/2016;19/04/2016;19/04/2019
ARRIS DE ARGENTINA S.A.;30-71402446-5;EX- -APN-SDYME#ENACOM 30879531/2017;BARTOLOME CRUZ;1850;1;    ;B1638BHR;VICENTE LOPEZ;BUENOS AIRES;(011  )5680-4925;30-2492;0;3495 APN-DNAYRT#ENACOM/2019;15/03/2019;15/03/2022
ARRIS DE ARGENTINA S.A.;30-71402446-5;EX- -APN-SDYME#ENACOM 30879531/2017;SUIPACHA;1111;18;    ;1008;CABA;CIUDAD DE BUENOS AIRES;(011  )5680-4913;30-2492;0;3495 APN-DNAYRT#ENACOM/2019;15/03/2019;15/03/2022
ARS TECHNOLOGIES S.R.L.;33-70714904-9;EXPAFTIC 3381/2015;PASAJE TRIPOLI;4029;          ;    ;C1419DSA;CABA;CIUDAD DE BUENOS AIRES;(011  )4574-3666;30-3091;0;7779 APN-DNLAYR#ENACOM/2026;19/05/2026;
ART IMPORT S.A.;30-63312041-9;EXPCNT 5162/1994;AVDA. CORRIENTES;2763;1;12;C1046AAF;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4961-7690;30-1056;0;1301 CN/1994;13/07/1994;13/07/1997
ARTS & FACTS S.A.;30-69232125-8;EXPCNC E 14765/1998;CERRITO;1320;8;    ;C1010ABB;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4315-3204;30-1332;0;5467 GI/1998;29/12/1998;29/12/2001
ARTSANA ARGENTINA S.A.;30-56996481-0;EXPCNC 13329/2008;CORRIENTES;545;8;    ;C1043AAF;CABA;CIUDAD DE BUENOS AIRES;(011  )4394-2882;30-2249;0;7317 -E-APN-ENACOM#MCO/2016;20/10/2016;20/10/2019
ARTSANA ARGENTINA S.A.;30-56996481-0;EXPCNC 13329/2008;URUGUAY;4501;          ;    ;B1644HKS;VICTORIA;BUENOS AIRES;;30-2249;0;7317 -E-APN-ENACOM#MCO/2016;20/10/2016;20/10/2019
ASAHI ARGENTINA S.A.;30-69799813-2;EXPCNC E 4589/2001;TALCAHUANO;750;8;    ;C1013AAP;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4582-6638;30-1398;0;1781 GI/2008;23/05/2008;23/05/2011
ASCOM ARGENTINA S.A.;30-69934588-8;EXPCNC E 1178/2000;JOSE IGNACIO THAMES;91;PB        ;1;1642;SAN ISIDRO;BUENOS AIRES;(011  )4700-0094;30-1364;0;2387 GI/2000;20/03/2000;20/03/2003
ASCOM ARGENTINA S.A.;30-69934588-8;EXPCNC E 1178/2000;VER EL EXPTE.;1;          ;    ;1001;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-1364;0;2387 GI/2000;20/03/2000;20/03/2003
ASEAGRO S.R.L.;30-70850861-2;EXPCNC 8064/2013;25 DE MAYO;763;          ;    ;X5800CPQ;RIO CUARTO;CORDOBA;(0358 )470 -0505;30-1937;0;2968 GI/2013;12/08/2013;12/08/2016
ASEAGRO S.R.L.;30-70850861-2;EXPCNC 8064/2013;3 DE FEBRERO;2172;5;B   ;C1428AHH;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1937;0;2968 GI/2013;12/08/2013;12/08/2016
ASENDU S.A.;30-70890047-4;EXPCNC 6896/2004;AVENIDA CORDOBA;755;2;    ;C1054AAG;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4000-6322;30-1495;0;3477 GI/2004;18/10/2004;18/10/2007
ASGA S.A.;30-70762834-7;EXPCNC 5603/2003;DUMONT SANTOS;2484;1;    ;C1426DCD;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4774-4144;30-1456;0;4469 GI/2006;30/10/2006;30/10/2009
ASOCIACION CIVIL ALTERMUNDI;30-71498982-7;EX- -APN-SDYME#ENACOM 54616457/2019;AV PUEYRREDON;363;3;L   ;1032;CABA;CIUDAD DE BUENOS AIRES;(011  )2388-8219;30-2824;0;5709 APN-DNAYRT#ENACOM/2022;09/09/2022;09/09/2025
ASOCIACION CIVIL ALTERMUNDI;30-71498982-7;EX- -APN-SDYME#ENACOM 54616457/2019;LAS ACACIAS SU205 M68;S/N;          ;    ;5189;JOSE DE LA QUINTANA;CORDOBA;;30-2824;0;5709 APN-DNAYRT#ENACOM/2022;09/09/2022;09/09/2025
ASOCIACION MUTUAL REDES SOLIDARIAS;30-71125797-3;EX- -APN-SDYME#ENACOM 23341988/2018;LAVALLE;1588;4°        ;B   ;1048;CABA;CIUDAD DE BUENOS AIRES;(011  )6022-4216;0;02-575;2803 APN-DNAYRT#ENACOM/2018;30/05/2018;30/05/2021
ATHUEL ELECTRONICA S.A.;30-59505891-7;EX- -APN-REYS#ENACOM 62968796/2022;FEDERICO ECHELAINE;557;          ;    ;V9421HBE;RIO GRANDE;TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR;(011  )6700-9481;30-2807;0;4116 APN-DNAYRT#ENACOM/2022;26/07/2022;26/07/2025
ATHUEL ELECTRONICA S.A.;30-59505891-7;EX- -APN-REYS#ENACOM 62968796/2022;USPALLATA;2776;          ;    ;1437;CABA;CIUDAD DE BUENOS AIRES;;30-2807;0;4116 APN-DNAYRT#ENACOM/2022;26/07/2022;26/07/2025
ATS ADVANCED TECHNOLOGY SOLUTIONS S.A.;30-64627917-4;EXPCNC 6329/2004;AVDA. CORRIENTES;880;11;    ;C1043AAV;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )6393-4345;30-1491;0;3252 GI/2004;05/10/2004;05/10/2007
AUDI TOTAL S.R.L.;30-63591934-1;EXPCNC 2766/2009;VIAMONTE GRAL JUAN JOSE;1716;7;32;C1055ABH;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4371-8956;30-1737;0;2504 GI/2012;27/07/2012;27/07/2015
AUDIOCODES ARGENTINA S.A.;30-70935338-8;EXPCNC 7270/2006;AVENIDA DE MAYO;701;18;    ;1084;CABA;CIUDAD DE BUENOS AIRES;(011  )5619-2242;30-2031;0;3788 GI/2014;21/10/2014;21/10/2017
AUDITRON S.A.;30-60265355-9;EX- -APN-ALYAT#ENACOM 69647731/2026;YRIGOYEN HIPOLITO;1628;13;    ;1089;1089;CIUDAD DE BUENOS AIRES;(011  )4380-2800;30-3134;0;9389 APN-DNLAYR#ENACOM/2026;06/08/2026;01/01/2099
AUDIVIC S.A.;30-59320856-3;EXPAFTIC 1533/2015;ROMULO S. NAON;1909;          ;    ;C1430EPC;CABA;CIUDAD DE BUENOS AIRES;(011  )4977-7801;0;02-554;500 DINAPTIC/2015;10/11/2015;10/11/2018
AUDIVIC S.A.;30-59320856-3;EXPAFTIC 1533/2015;SAAVEDRA LAMAS;1480;          ;    ;V9420DON;RIO GRANDE;TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR;(02964)43  -0804;0;02-554;500 DINAPTIC/2015;10/11/2015;10/11/2018
AUKALLOKA, LIDIA ELENA;27-13501655-7;EXPCNC 8100/2011;CARLOS CALVO;3934;7º        ;I   ;C1230ABR;CABA;CIUDAD DE BUENOS AIRES;(011  )4662-5180;30-1838;0;494 APN-DNPYC#ENACOM/2017;05/10/2017;17/01/2021
AUMECON S.A.;30-70986084-0;EXPCNC 5460/2010;ACASSUSO DOMINGO DE;4768;          ;    ;B1605BFP;MUNRO;BUENOS AIRES;(011  )4762-6331;30-1791;0;2506 GI/2010;27/07/2010;27/07/2013
AUMECON S.A.;30-70986084-0;EXPCNC 5460/2010;TUCUMAN;1538;3;A   ;C1050AAF;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4372-1936;30-1791;0;2506 GI/2010;27/07/2010;27/07/2013
AUMET S.A.;30-61714856-7;;DR. FRANCISCO JAVIER MUÑIZ;640;          ;    ;C1234ABF;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4983-4740;30-1094;0;426 CN/1991;29/08/1991;29/08/1994
AUREAM ARBOR S.A.S.;30-71626883-3;EX- -APN-REYS#ENACOM 115188044/2021;LAVALLE;900;2`        ;B   ;1407;CABA;CIUDAD DE BUENOS AIRES;(011  )6703-8614;30-2765;02-623;131 APN-DNAYRT#ENACOM/2022;07/01/2022;07/01/2025
AUTOMOVILES EXCLUSIVOS S.A.;30-58747650-5;EXPCNC E 13951/1998;REPUBLICA DE ESLOVENIA;1970;          ;    ;C1426CZH;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4778-7111;30-1330;0;4988 GI/1998;12/11/1998;12/11/2001
AUTOSERVICIO MAYORISTA DIARCO S.A.;30-60737179-9;EX- -APN-SDYME#ENACOM 5223098/2018;CIRCUNVALACION;S/N;          ;    ;1771;CIUDAD EVITA;BUENOS AIRES;(011  )508 -2800;30-2693;0;765 DI-2021-765-APN-DNAYRT#ENACOM/2021;08/03/2021;08/03/2024
AUTOSERVICIO MAYORISTA DIARCO S.A.;30-60737179-9;EX- -APN-SDYME#ENACOM 5223098/2018;MAIPU;510;4;C   ;C1006ACF;CABA;CIUDAD DE BUENOS AIRES;(011  )5082-8000;30-2693;0;765 DI-2021-765-APN-DNAYRT#ENACOM/2021;08/03/2021;08/03/2024
AUTOTROL S.A.C.I.A.F.I.;30-50491371-2;EXPENACOM 10050/2017;CAMILA O GORMAN;3060;          ;    ;C1437BCB;CABA;CIUDAD DE BUENOS AIRES;(011  )4879-9800;30-2354;0;359 APN-DNPYC#ENACOM/2017;14/09/2017;17/01/2021
AVAYA ARGENTINA S.R.L.;30-70723105-6;EXPCNC E 6853/2000;LAVALLE;1877;1;    ;C1051ABA;CABA;CIUDAD DE BUENOS AIRES;(011  )4118-4400;30-2302;0;6441 DNAYRT#ENACOM/2023;08/08/2023;08/08/2026
AVERA IMPORT S.A.;30-71931133-0;EX- -APN-ALYAT#ENACOM 31018491/2026;LIBERTAD;434;7º        ;72;1012;CABA;CIUDAD DE BUENOS AIRES;(02262)49  -4008;30-3100;0;7930 APN-DNLAYR#ENACOM/2026;26/05/2026;01/01/2099
AVERY DENNISON DE ARGENTINA S.R.L.;30-62148209-9;EXPCNC 12301/2013;WARNES CNEL IGNACIO;2227;          ;    ;1427;CIUDAD DE BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4325-1774;30-1957;0;4640 GI/2013;22/11/2013;22/11/2016
AXIS COMMUNICATIONS DE ARGENTINA S.A.;30-71213057-8;EX- -APN-REYS#ENACOM 26811977/2021;LIMA;287;5º        ;A   ;1073;CABA;CIUDAD DE BUENOS AIRES;(011  )4381-0220;30-2941;0;6534 APN-DNAYRT#ENACOM/2024;30/06/2024;30/06/2027
AXSYS COMUNICACIONES DE ARGENTINA S.A.;30-66171344-1;EXPCNC 1609/2009;BILLINGHURST;2248;3;D   ;C1425DTT;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )5752-7264;30-1735;0;703 GI/2009;04/03/2009;04/03/2012
AYDIN S.A.;30-71199185-5;;ALEM LEANDRO NICEFORO;690;21;    ;C1001AAO;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4312-7788;30-1194;0;5236 CN/1993;30/09/1993;30/09/1996
B&G ELECTRONICA S.R.L.;00-00000868-0;;ESTADO DE ISRAEL;4165;          ;    ;C1185AAA;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1076;0;313 CN/1991;28/06/1991;28/06/1994
B.H.S.D. S.A.;30-70220564-2;EXPCNC 5211/2015;PASTEUR;572;2;A   ;1028;CABA;CIUDAD DE BUENOS AIRES;(011  )4952-7371;30-2095;0;145 DINAPTIC/2015;21/08/2015;21/08/2018
B.T.W. S.A.;30-68834322-0;EXPCNC E 9088/2000;PIEDRAS;338;1;9;C1070AAH;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )5097-8689;30-2525;0;7844 APN-DNAYRT#ENACOM/2019;07/06/2019;07/06/2022
BACIGALUPPI HERMANOS S.A.;30-55799098-0;EXPENACOM 13541/2016;CNEL. MANUEL ROSETI;2128;          ;    ;C1427BWR;CABA;CIUDAD DE BUENOS AIRES;(011  )4523-6000;30-2262;0;8123 -E-APN-ENACOM#MCO/2016;25/11/2016;25/11/2019
BAIRESCO COMUNICACIONES Y COMPUTACION S.A.;30-64760832-5;;AVDA. PTE. FIGUEROA ALCORTA;3259;          ;    ;C1425CKL;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4802-6017;30-935;0;275 CN/1992;04/03/1992;04/03/1995
BALLUFF ARGENTINA S.R.L.;30-71241355-3;EXPCNC 2233/2014;TUCUMAN;1;4º        ;    ;C1049AAA;CABA;CIUDAD DE BUENOS AIRES;(011  )2465-1720;30-3107;0;8138 APN-DNLAYR#ENACOM/2026;02/06/2026;01/01/2099
BANFI, ALEJANDRO DANIEL;20-16892826-3;EXPCNC 3853/2015;WHITE;194;          ;    ;1407;CABA;CIUDAD DE BUENOS AIRES;(011  )4671-9269;30-2087;0;2187 GI/2015;05/06/2015;05/06/2018
BARLOCO, SEBASTIAN DANIEL;20-22653449-1;EX- -APN-REYS#ENACOM 69481669/2020;ESMERALDA;3274;          ;    ;1604;FLORIDA OESTE;BUENOS AIRES;(011  )6471-5024;30-2666;02-602;5193 APN-DNAYRT#ENACOM/2020;29/12/2020;29/12/2023
BASESIDE S.R.L.;30-70787057-1;EXPCNC 13819/2014;MONTAÑESES;3060;          ;    ;C1429BLF;CABA;CIUDAD DE BUENOS AIRES;(011  )4704-5570;30-2029;0;3786 GI/2014;21/10/2014;21/10/2017
BAX INGENIERIA ELECTRONICA S.R.L.;30-63760864-5;EXPCNT E 33247/1996;SANTA FE;4725;          ;    ;S2002KVO;ROSARIO;SANTA FE;(0341 )437 -0955;30-1277;0;2500 GI/1996;13/08/1996;13/08/1999
BAX INGENIERIA ELECTRONICA S.R.L.;30-63760864-5;EXPCNT E 33247/1996;VER EL EXPTE.;1;          ;    ;1001;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-1277;0;2500 GI/1996;13/08/1996;13/08/1999
BAXO S.A.;30-71236462-5;EX- -APN-REYS#ENACOM 6081152/2023;JOAQUIN V. GONZALEZ;2958;          ;    ;C1417AQR;CABA;CIUDAD DE BUENOS AIRES;(011  )5017-0332;30-2851;0;1602 -APN-DNAYRT#ENACOM/2023;27/02/2023;27/02/2026
BAYER S.A.;30-50381106-1;EXPENACOM 6077/2016;AV. DEL LIBERTADOR;6343;2º        ;    ;C1428ARG;CABA;CIUDAD DE BUENOS AIRES;(011  )4762-7000;30-2558;0;1033 APN-DNlLAYR#ENACOM/2025;02/10/2025;02/10/2028
BAYER S.A.;30-50381106-1;EXPENACOM 6077/2016;RICARDO GUTIERREZ;3652;          ;    ;B1605EHD;MUNRO;BUENOS AIRES;;30-2558;0;1033 APN-DNlLAYR#ENACOM/2025;02/10/2025;02/10/2028
BAZAR AVENIDA S.A.;30-53284754-7;EXPCNC 11925/2006;ALEM LEANDRO NICEFORO;530;4;    ;C1001AAN;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4315-6014;30-1614;0;690 GI/2007;02/02/2007;02/02/2010
BAZAR AVENIDA S.A.;30-53284754-7;EXPCNC 11925/2006;BV. SANTA FE;252;          ;    ;2300;RAFAELA;SANTA FE;(03492)43  -8090;30-1614;0;690 GI/2007;02/02/2007;02/02/2010
BCD S.R.L.;30-61520790-6;EXPCNC 12916/2010;3 DE FEBRERO;312;PB        ;GCIA;S2000BKH;ROSARIO;SANTA FE;(0341 )4342-3990;30-2592;0;1607 APN-DNAYRT#ENACOM/2023;27/02/2023;01/01/2099
BCD S.R.L.;30-61520790-6;EXPCNC 12916/2010;LAVALLE;1634;7;F   ;1048;CABA;CIUDAD DE BUENOS AIRES;;30-2592;0;1607 APN-DNAYRT#ENACOM/2023;27/02/2023;01/01/2099
BDEV S.A.;30-71061587-6;EXPCNC 2638/2015;DIEGO PAROISSIEN;1686;2º        ;    ;C1429CWB;CABA;CIUDAD DE BUENOS AIRES;(011  )2051-0253;30-2069;0;941 GI/2015;19/03/2015;19/03/2018
BEEPOINT S.R.L.;30-71029470-0;EXPCNC 14677/2008;BELGRANO MANUEL;634;4;I   ;C1092AAT;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )5256-0953;30-1723;0;4543 GI/2008;10/12/2008;10/12/2011
BENQ ARGENTINA S.R.L.;33-70934401-9;EXPCNC 8487/2005;RECONQUISTA;609;7;    ;C1003ABM;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4346-8996;30-1551;0;4347 GI/2005;31/10/2005;31/10/2008
